Dept,Course Number,Section,Course Title,Instructor,Book Title,Book URL,Image URL,,
ANTH,2051,"1,2",Introduction to World Ethnography,Regis,Consuming Grief: Compassionate Cannibalism in an Amazonian Society,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780292798236/,http://www.syndetics.com/index.aspx?isbn=9780292798236/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ANTH,2423,1,Introduction to Folklore,Ware,Living Folklore: An Introduction to the Study of People and their Traditions,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780874218459/,http://www.syndetics.com/index.aspx?isbn=9780874218459/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ANTH,4020,1,Method and Theory in Archaeology,Chicoine,A History of Archaeological Thought,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511813016,http://www.syndetics.com/index.aspx?isbn=9780521840767/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ANTH,4023,1,Latin American Cultures,Rahder,In Amazonia: A Natural History,http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9781400865277/,http://www.syndetics.com/index.aspx?isbn=9781400865277/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ANTH,4051,1,Africa,Regis,Muslim Families in Global Senegal Money Takes Care of Shame.,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780253005359/,http://www.syndetics.com/index.aspx?isbn=9780253005359/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ANTH,4470,1,Folklore of the African Diaspora,Jackson,"Jazz Religion, the Second Line, and Black New Orleans",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780253004109/,http://www.syndetics.com/index.aspx?isbn=9780253004109/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ANTH,4470,1,Folklore of the African Diaspora,Jackson,Reversing Sail: A History of the African Diaspora,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511814648,http://www.syndetics.com/index.aspx?isbn=9780521806626/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
BIOL,4308,1,Plants in Coastal Environments,Quirk,Wetland Plants Biology and Ecology,http://libezp.lib.lsu.edu/login?url=http://www.crcnetbase.com/isbn/9781420032925,http://www.syndetics.com/index.aspx?isbn=9781420032925/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
BIOL,7063,1,Plant Metabolism,Moroney,Plant Biochemistry,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123849861,http://www.syndetics.com/index.aspx?isbn=9780123849861/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
BIOL,7800,3,Eco Data Approaches,Eldred,The Ecological Detective: Confronting Models with Data ,http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9781400847310/,http://www.syndetics.com/index.aspx?isbn=9781400847310/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CE,3415,1,Structural Analysis I,Cai,Minimum Design Loads for Buildings and Other Structures,http://site.ebrary.com/lib/louisianastate/docDetail.action?docID=10435298,http://www.syndetics.com/index.aspx?isbn=9780784410851/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CHE,3100,1,Chemical Equilibrium and Kinetics of Environmental Processes,,Elements of Environmental Engineering: Thermodynamics and Kinetics,http://libezp.lib.lsu.edu/login?url=http://www.crcnetbase.com/isbn/9781420078206,http://www.syndetics.com/index.aspx?isbn=9781420078206/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CHEM,4150,1,Environmental Chemistry,Cook,Environmental Chemistry: Fundamentals,http://libezp.lib.lsu.edu/login?url=http://link.springer.com/book/10.1007/978-0-387-31435-8,http://www.syndetics.com/index.aspx?isbn=9780387314358/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CHEM,4562,1,Intermediate Organic Chemistry,Ragains,Advanced Organic Chemistry Part B: Reaction and Synthesis,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1007/978-0-387-71481-3,http://www.syndetics.com/index.aspx?isbn=9780387714813/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CHEM,7010,1,Macromolecular Systems III,Zhang,Principles of Polymerization,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/047147875X,http://www.syndetics.com/index.aspx?isbn=9780471274001/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CHIN,2070,1,Chinese Cinema,Zhou,"Transnational Chinese Cinemas: Identity, Nationhood, Gender",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780824865290/,http://www.syndetics.com/index.aspx?isbn=9780824818456/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CMST,7967,1,Development of Contemporary Rhetorical Theory,Saas,Ambient Rhetoric: The Attunements of Rhetorical Being,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780822978695/,http://www.syndetics.com/index.aspx?isbn=9780822962403/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CMST,7967,1,Development of Contemporary Rhetorical Theory,Saas,Rhetoric and the Gift: Ancient Rhetorical Theory and Contemporary Communication ,http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9780820706160/,http://www.syndetics.com/index.aspx?isbn=9780820704852/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
COMD,7783,1,Dysphagia,Kunduk,Principles of Deglutition: A Multidisciplinary Text for Swallowing and its Disorders,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1007/978-1-4614-3794-9,http://www.syndetics.com/index.aspx?isbn=9781461437949/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
